metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Avg conflict size,150,20,"n=150, k=20",,,0,140.9056,84.0972,2,49.8764,48.8205,19,34.6497,59.4133,18
Best maxleg found,20,3,"n=20, k=3",893.0,580.0,30,1109.0,467.5,30,735.5,453.75,30,682.0,438.5,30
Best maxleg found,20,5,"n=20, k=5",3448.0,8130.75,30,1094.0,764.75,30,513.0,119.75,30,490.0,92.5,30
Best maxleg found,20,7,"n=20, k=7",7776.0,12298.75,30,1175.0,823.0,30,517.0,147.25,30,521.5,146.75,30
Best maxleg found,20,10,"n=20, k=10",9078.0,12446.0,27,1361.0,899.25,30,537.0,167.0,30,528.5,93.5,30
Best maxleg found,50,3,"n=50, k=3",2478.0,4030.0,25,4478.0,2750.0,25,1091.0,4814.0,25,1246.0,10366.0,25
Best maxleg found,50,5,"n=50, k=5",28433.0,13783.0,25,14512.0,13063.25,24,894.5,11198.0,24,747.0,14867.0,25
Best maxleg found,50,7,"n=50, k=7",48039.5,31112.0,16,23310.0,12114.0,24,998.0,10608.0,25,1077.0,10981.0,25
Best maxleg found,50,10,"n=50, k=10",30315.0,51934.75,8,35086.0,25346.75,24,1491.0,7312.5,24,1758.0,11110.5,23
Best maxleg found,50,15,"n=50, k=15",26363.0,9983.0,5,28702.0,32065.25,24,1403.0,2165.5,23,903.0,8153.5,23
Best maxleg found,100,5,"n=100, k=5",198919.0,320994.0,20,90118.0,64918.25,20,4029.5,15097.75,18,11852.0,13258.0,19
Best maxleg found,100,7,"n=100, k=7",375128.0,483406.5,20,238530.0,309680.0,20,2128.0,11261.5,18,4632.0,9453.5,19
Best maxleg found,100,10,"n=100, k=10",112377.0,182389.75,16,515520.5,914505.75,20,1811.0,9270.75,18,3337.0,14007.75,20
Best maxleg found,100,15,"n=100, k=15",72994.0,29008.0,9,605666.5,882912.25,18,1790.0,8881.0,19,4608.0,13197.0,19
Best maxleg found,100,20,"n=100, k=20",45673.5,17215.75,4,497911.0,952568.0,17,2725.0,10719.0,19,3608.0,11907.75,20
Best maxleg found,150,7,"n=150, k=7",2216597.0,3420521.0,9,1509501.0,572642.0,11,14124.0,11374.5,19,15448.0,16356.0,20
Best maxleg found,150,10,"n=150, k=10",2065605.5,2397621.75,14,1920391.5,1250370.5,6,6330.5,15724.5,18,13565.0,14266.75,20
Best maxleg found,150,15,"n=150, k=15",133858.0,115645.75,20,1742846.5,1319255.75,4,6794.5,14193.5,20,14624.0,12327.5,20
Best maxleg found,150,20,"n=150, k=20",60777.0,40284.0,17,1834125.5,587319.5,2,17122.0,28738.0,19,9846.5,15563.0,18
