metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Failures (backtracks),100,10,"n=100, k=10",,,0,191032.0,626923.0,19,809.0,8189.5,18,1533.5,15591.5,18
Failures (backtracks),100,15,"n=100, k=15",,,0,176155.0,677087.0,17,622.0,1885.0,17,3001.0,13587.0,19
Failures (backtracks),100,20,"n=100, k=20",,,0,180439.5,338241.5,16,1008.0,9782.0,19,1430.0,10331.5,19
Failures (backtracks),150,7,"n=150, k=7",,,0,940666.0,448472.5,11,11071.0,19792.0,19,13939.5,22883.5,20
Failures (backtracks),150,10,"n=150, k=10",,,0,574477.0,602148.0,6,3791.5,32196.5,18,10283.0,13248.75,20
Failures (backtracks),150,15,"n=150, k=15",,,0,506286.0,274013.75,4,3470.0,10841.0,20,11133.0,21522.5,20
Failures (backtracks),150,20,"n=150, k=20",,,0,810764.5,485854.5,2,20696.0,48659.5,19,6949.0,20664.5,18
Nodes explored,20,3,"n=20, k=3",893.0,580.0,30,1109.0,467.5,30,735.5,453.75,30,682.0,438.5,30
Nodes explored,20,5,"n=20, k=5",3448.0,8130.75,30,1094.0,764.75,30,513.0,119.75,30,490.0,92.5,30
Nodes explored,20,7,"n=20, k=7",7776.0,105736.25,30,1175.0,823.0,30,517.0,147.25,30,521.5,146.75,30
Nodes explored,20,10,"n=20, k=10",9078.0,73683.5,27,1361.0,899.25,30,537.0,167.0,30,528.5,93.5,30
Nodes explored,50,3,"n=50, k=3",2478.0,4030.0,25,4478.0,2750.0,25,1091.0,4814.0,25,1246.0,10525.0,25
Nodes explored,50,5,"n=50, k=5",181233.0,1032679.25,18,12861.5,8093.5,20,774.0,5286.0,20,689.5,12753.5,22
Nodes explored,50,7,"n=50, k=7",193976.0,1190765.0,7,23310.0,12225.0,24,992.0,6694.5,24,904.0,2233.5,23
Nodes explored,50,10,"n=50, k=10",323148.0,222564.0,5,34138.5,24978.25,22,1463.0,4319.0,23,1758.0,13328.0,23
Nodes explored,50,15,"n=50, k=15",216952.0,346459.0,5,28012.0,32102.5,23,1403.0,2165.5,23,903.0,9413.5,23
Nodes explored,100,5,"n=100, k=5",1461584.0,1881627.5,11,90118.0,72925.25,18,4029.5,29260.5,18,13285.0,21701.0,19
Nodes explored,100,7,"n=100, k=7",,,0,239582.0,259280.0,18,1554.5,7313.0,16,2035.0,7269.0,17
Nodes explored,100,10,"n=100, k=10",,,0,654923.0,903626.5,19,1811.0,10746.75,18,2790.5,22627.5,18
Nodes explored,100,15,"n=100, k=15",,,0,474329.0,956554.0,17,1617.0,1770.0,17,4608.0,26741.0,19
Nodes explored,100,20,"n=100, k=20",,,0,538537.0,1036594.25,16,2725.0,13029.0,19,2961.0,16410.5,19
Nodes explored,150,7,"n=150, k=7",,,0,1509501.0,572642.0,11,15314.0,31131.5,19,22073.5,33096.25,20
Nodes explored,150,10,"n=150, k=10",,,0,1921964.0,1255200.75,6,6330.5,44304.25,18,13794.0,16836.25,20
Nodes explored,150,15,"n=150, k=15",,,0,1742846.5,1319255.75,4,6794.5,18675.5,20,17573.0,36100.5,20
Nodes explored,150,20,"n=150, k=20",,,0,1834125.5,587319.5,2,32317.0,60214.0,19,13003.5,33745.75,18
Propagations,20,3,"n=20, k=3",93547.0,79330.25,30,35112.0,11556.5,30,36614.5,14621.5,30,32793.0,12356.25,30
Propagations,20,5,"n=20, k=5",278491.5,609810.5,30,53095.5,13174.5,30,49205.0,9946.5,30,47389.0,7868.25,30
Propagations,20,7,"n=20, k=7",730950.0,6125680.25,30,77960.5,12583.0,30,75334.5,17238.25,30,74154.0,16274.5,30
Propagations,20,10,"n=20, k=10",1047462.0,5373746.0,27,119224.5,24463.25,30,116548.0,25254.0,30,111525.5,24064.25,30
Propagations,50,3,"n=50, k=3",469602.0,1099583.0,25,73247.0,55245.0,25,55686.0,137562.0,25,54500.0,269168.0,25
Propagations,50,5,"n=50, k=5",28267675.5,173734025.25,18,147582.0,75499.25,20,64109.0,147490.25,20,62997.0,358197.0,22
Propagations,50,7,"n=50, k=7",28324750.0,170304663.0,7,238653.5,266609.75,24,106997.5,269602.0,24,95886.0,78243.0,23
Propagations,50,10,"n=50, k=10",42188667.0,35298136.0,5,413020.5,257374.0,22,180163.0,152507.5,23,207416.0,564528.0,23
Propagations,50,15,"n=50, k=15",19956905.0,44432008.0,5,583047.0,240548.5,23,255143.0,124895.0,23,248028.0,683856.5,23
Propagations,100,5,"n=100, k=5",429742261.0,495534017.5,11,1208652.0,1669330.0,18,151389.0,649784.25,18,358213.0,464472.5,19
Propagations,100,7,"n=100, k=7",,,0,3730502.0,5068962.5,18,106309.5,217557.75,16,113638.0,173714.0,17
Propagations,100,10,"n=100, k=10",,,0,8003615.0,24263387.0,19,166315.5,422574.0,18,213357.5,641737.0,18
Propagations,100,15,"n=100, k=15",,,0,15665567.0,27656877.0,17,247505.0,160551.0,17,466712.0,1187574.0,19
