metric,config_n,config_p,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Best maxleg found,20,15,"n=20, p=15",93.0,35.0,3,229.0,102.5,3,75.0,3.5,3,75.0,3.5,3
Best maxleg found,50,10,"n=50, p=10",350.5,551.5,12,1562.0,325.5,15,280.0,42.0,15,280.0,42.0,15
Best maxleg found,50,15,"n=50, p=15",461.0,216.0,15,2608.5,489.25,20,438.5,19.0,20,438.5,19.0,20
Best maxleg found,100,5,"n=100, p=5",208681.0,0.0,1,5818.5,610.75,4,583.5,10.0,4,583.0,10.75,4
Best maxleg found,100,10,"n=100, p=10",2631.5,3811.5,12,13972.0,1024.25,20,1109.0,28.25,20,1109.0,28.25,20
Best maxleg found,100,15,"n=100, p=15",1637.0,503.0,15,24103.5,1722.75,20,1603.5,39.5,20,1603.5,39.5,20
Best maxleg found,150,5,"n=150, p=5",39650.0,144905.0,3,21545.0,1352.0,17,1212.5,53.0,18,1212.5,53.0,18
Best maxleg found,150,10,"n=150, p=10",2389.5,1157.25,8,52381.0,2974.75,20,2286.5,84.5,20,2286.5,84.5,20
Best maxleg found,150,15,"n=150, p=15",3407.0,175.0,13,82682.0,5191.25,20,3334.5,83.5,20,3334.5,83.5,20
