instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsTotal,circuitNumberCircuitConflicts,circuitNumberAlldiffConflicts,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberGacPrunings,circuitNumberPropagationsThatGacPruned,circuitNumberTotalPruningHallSetSize,circuitNumberNumberOfPruningExplanations,circuitNumberMaxPruningHallSetSize,circuitNumberTotalSccSizeAtPruning,circuitNumberNumberOfSccPruningCalls,circuitNumberTotalVarsInvolvedInPruning,circuitNumberMaxValuesPrunedFromSingleVar,circuitNumberHallCircuitChecks,circuitNumberHallCircuitPrunings,circuitNumberCircuitPreventPrunings,type,best_sol
pumpkin-v3/opt/n50_k7/instance_n50_k7_0015.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/383,OPTIMAL,6,24.86,12.26,22218,780631,12.200557708,24636,423,0,22218,26.229543613286523,46.234134485552254,15.38581330452786,1,368928,60291,456,2706806,60747,641061,208095,1545650,641061,249,750538,208095,539188,37,677160,47877,185574,minimize,501
pumpkin-v3/opt/n20_k10/instance_n20_k10_0021.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/224,OPTIMAL,19,0.33,0.12000000000000001,76,16242,0.03078727,3171,244,0,76,8.210526315789474,38.078947368421055,4.934210526315789,1,9809,377,0,5653,377,24618,4963,45245,24618,225,19906,4963,22547,89,9619,1184,3612,minimize,244
pumpkin-v3/opt/n20_k10/instance_n20_k10_0023.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/242,OPTIMAL,12,12.65,0.13,69,11590,0.02610994,2309,257,0,69,7.855072463768116,37.94202898550725,8.304347826086957,1,3986,154,0,2309,154,11899,1990,23672,11899,149,7845,1990,10022,83,3814,602,1788,minimize,257
pumpkin-v3/opt/n20_k10/instance_n20_k10_0009.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/217,OPTIMAL,12,0.47,0.1,41,8832,0.016187786,2445,243,0,41,8.707317073170731,21.146341463414632,5.2682926829268295,1,3598,130,0,1930,130,10649,1728,20483,10649,189,6691,1728,9611,86,3216,653,1565,minimize,240
pumpkin-v3/opt/n20_k10/instance_n20_k10_0022.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/231,OPTIMAL,12,0.31,0.11,65,11372,0.024681437,2127,245,0,65,5.246153846153846,42.01538461538462,5.430769230769231,1,3352,21,0,248,21,8700,1652,11554,8700,75,3808,1652,8347,39,3224,413,1133,minimize,245
pumpkin-v3/opt/n20_k10/instance_n20_k10_0007.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/227,OPTIMAL,23,0.78,0.12,42,17633,0.029346811,3510,253,0,42,7.095238095238095,41.04761904761905,8.238095238095237,1,10369,144,0,2375,144,26446,5033,42159,26446,231,15116,5033,24428,95,9641,1266,4499,minimize,253
pumpkin-v3/opt/n20_k10/instance_n20_k10_0016.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/225,OPTIMAL,19,0.24,0.11,23,14014,0.021828701,2997,224,0,23,7,39.34782608695652,6.434782608695652,1,7030,78,0,1120,78,19921,3462,41379,19921,271,13847,3462,17402,181,6433,540,3182,minimize,224
pumpkin-v3/opt/n20_k10/instance_n20_k10_0027.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/220,OPTIMAL,12,0.44,0.1,58,9671,0.01838213,2356,250,0,58,8.672413793103448,17.086206896551722,3.5344827586206895,1,5216,416,0,5912,416,14357,2718,24142,14357,140,10549,2718,13755,55,5418,901,2281,minimize,247
pumpkin-v3/opt/n20_k10/instance_n20_k10_0001.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/237,OPTIMAL,20,1.7,0.18,273,31260,0.080394559,3278,250,0,273,4.377289377289378,45.38827838827839,7.941391941391942,1,8939,276,11,4162,287,23968,4585,50911,23968,312,19881,4585,21368,112,9080,1680,3795,minimize,250
pumpkin-v3/opt/n20_k10/instance_n20_k10_0005.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/243,OPTIMAL,12,0.62,0.12,89,11955,0.025454271,2679,266,0,89,10.719101123595506,21.123595505617978,9.157303370786517,1,5152,381,0,6402,381,12403,2575,17491,12403,106,5608,2575,11818,60,6052,1018,2182,minimize,274
