instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,type,best_sol
pumpkin-v0/opt/n150_k10/instance_n150_k10_0012.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/152,UNKNOWN,0,1802.04,1784.9199999999998,2860901,1704074545,1795.066171508,5888351,1017,9174,2860901,13.099686427457643,45.31931409021144,15.754748591440249,129,minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0013.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/141,SATISFIABLE,17,1801.35,1792.25,3961357,2584202808,1798.72920961,8603846,2047,12413,3961357,14.725270658514242,30.16055180080967,9.555351613096219,145,minimize,762133
pumpkin-v0/opt/n150_k10/instance_n150_k10_0019.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/142,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0009.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/144,SATISFIABLE,14,1801.85,1786.82,3343015,2206326613,1794.574304182,8634930,1831,15191,3343015,13.347883572164648,32.392046999489985,10.66820848844531,131,minimize,3077904
pumpkin-v0/opt/n150_k10/instance_n150_k10_0018.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/148,SATISFIABLE,15,1801.33,1791.15,2907110,1501855154,1799.166897461,6066352,1703,8796,2907110,11.826978683297158,61.26239151597291,24.384518989649514,127,minimize,5080773
pumpkin-v0/opt/n150_k10/instance_n150_k10_0001.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/147,SATISFIABLE,70,1801.34,1793.58,2674688,1888109624,1799.199620138,5487276,1917,10186,2674688,11.267446146989855,66.57520204225689,26.139670496147588,117,minimize,633906
pumpkin-v0/opt/n150_k10/instance_n150_k10_0011.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/146,SATISFIABLE,47,1801.34,1791.06,3341148,2145256887,1799.335962372,8142467,2136,13115,3341148,14.543107039855762,38.55962381792126,13.14239057952536,124,minimize,1830902
pumpkin-v0/opt/n150_k10/instance_n150_k10_0014.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/140,SATISFIABLE,154,1801.34,1791.3500000000001,3344882,2241352754,1797.979381577,6782116,2119,8150,3344882,15.486182173242584,40.85228238245774,14.653188662559696,134,minimize,1745358
pumpkin-v0/opt/n150_k10/instance_n150_k10_0007.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/138,UNKNOWN,0,1801.32,1791.6599999999999,2985855,2122330637,1799.679890777,5374353,837,6504,2985855,12.279518261938373,31.62101508613111,13.293143504959216,145,minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0016.fzn,experiments/20260602-11.16.13.665988-pumpkin-v0/153,SATISFIABLE,600,1802.09,1785.54,2874067,2037699448,1789.053248802,8408251,2017,12966,2874067,12.783476863970117,31.49473411719351,11.081115367178288,117,minimize,498438
