metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Nogoods learned,150,10,"n=150, k=10",,,0,362319.0,358328.0,2,51439.0,202692.0,3,,,0
Unit nogoods learned,20,3,"n=20, k=3",1.0,0.0,30,1.0,0.0,30,1.0,0.0,30,1.0,0.0,30
Unit nogoods learned,20,5,"n=20, k=5",1.0,0.0,30,1.0,0.0,30,1.0,0.0,30,1.0,0.0,30
Unit nogoods learned,20,7,"n=20, k=7",1.0,0.0,30,1.0,0.0,30,1.0,0.0,30,1.0,0.0,30
Unit nogoods learned,20,10,"n=20, k=10",1.0,0.0,27,1.0,0.0,30,1.0,0.0,30,1.0,0.0,29
Unit nogoods learned,50,3,"n=50, k=3",1.0,0.0,25,1.0,0.0,25,1.0,0.0,25,1.0,0.0,24
Unit nogoods learned,50,5,"n=50, k=5",1.0,0.0,6,1.0,0.0,13,1.0,0.0,17,1.0,0.0,8
Unit nogoods learned,50,7,"n=50, k=7",1.0,0.0,1,1.0,0.0,12,1.0,0.0,15,1.0,0.0,8
Unit nogoods learned,50,10,"n=50, k=10",1.0,0.0,1,1.0,0.0,10,1.0,0.0,14,1.0,0.0,9
Unit nogoods learned,50,15,"n=50, k=15",,,0,1.0,0.0,9,1.0,0.0,13,1.0,0.0,9
Unit nogoods learned,100,5,"n=100, k=5",,,0,1.0,0.0,1,1.0,0.0,2,,,0
Unit nogoods learned,100,7,"n=100, k=7",,,0,1.0,0.0,2,1.0,0.0,7,1.0,0.0,2
Unit nogoods learned,100,10,"n=100, k=10",,,0,1.0,0.0,1,1.0,0.0,2,1.0,0.0,2
Unit nogoods learned,100,15,"n=100, k=15",,,0,,,0,1.0,0.0,2,,,0
Unit nogoods learned,100,20,"n=100, k=20",,,0,,,0,1.0,0.0,2,,,0
Unit nogoods learned,150,10,"n=150, k=10",,,0,1.0,0.0,2,1.0,0.0,3,,,0
Avg conflict size,20,3,"n=20, k=3",3.5823,2.7961,30,4.9257,1.649,30,6.2674,4.5768,30,5.8798,4.3549,30
Avg conflict size,20,5,"n=20, k=5",6.8673,2.3394,30,7.0699,3.5146,30,6.9773,2.8578,30,6.9722,2.8502,30
Avg conflict size,20,7,"n=20, k=7",10.2336,4.1122,30,7.553,6.8064,30,7.7994,3.2358,30,7.2554,4.6299,30
Avg conflict size,20,10,"n=20, k=10",12.7844,5.5096,27,10.44,8.1143,30,8.9074,4.2776,30,8.0417,3.1252,29
Avg conflict size,50,3,"n=50, k=3",6.5198,5.9308,25,11.6382,7.1418,25,10.8655,8.7142,25,9.0449,8.7217,24
Avg conflict size,50,5,"n=50, k=5",14.6315,5.1902,6,12.9944,14.7225,13,17.9499,10.7075,17,14.7742,6.1086,8
Avg conflict size,50,7,"n=50, k=7",12.2282,0.0,1,29.7961,14.5483,12,19.5599,7.3462,15,15.4679,6.2152,8
Avg conflict size,50,10,"n=50, k=10",14.7257,0.0,1,33.6835,33.6033,10,19.7997,13.5861,14,10.8298,19.2664,9
Avg conflict size,50,15,"n=50, k=15",,,0,45.3918,58.6285,9,19.9838,9.0931,13,19.0551,13.9465,9
Avg conflict size,100,5,"n=100, k=5",,,0,57.6894,0.0,1,23.055,2.6917,2,,,0
Avg conflict size,100,7,"n=100, k=7",,,0,23.2382,4.4152,2,25.5253,22.4574,7,24.3139,19.265,2
Avg conflict size,100,10,"n=100, k=10",,,0,22.3094,0.0,1,40.3602,8.5421,2,22.1051,1.7332,2
Avg conflict size,100,15,"n=100, k=15",,,0,,,0,70.9096,17.1848,2,,,0
Avg conflict size,100,20,"n=100, k=20",,,0,,,0,42.1782,30.0877,2,,,0
Avg conflict size,150,10,"n=150, k=10",,,0,41.691,26.0541,2,91.8262,31.5789,3,,,0
