variant,config_n,config_k,config,n_instances,n_optimal,proven_optimal_rate,median_par2_s,median_failures,median_propagations,median_avg_lbd,median_nogood_length,median_wall_time_s,median_avg_depth_at_failure,median_circuit_conflict_rate,median_avg_hall_set_size_v1,median_avg_hall_set_size_conflict_v2,median_avg_tight_hall_set_size_v2,median_avg_tight_hall_set_size_v3,median_hall_circuit_fire_rate_v3,median_gac_pruning_rate_v3,median_alldiff_pruning_rate_v2,median_avg_vars_involved_per_pruning_v2,median_avg_scc_size_when_pruning_v2
V2,20,10,"n=20, k=10",30,30,1.0,3.385,82.5,16428.0,7.9912,34.7643,3.385,14.2788,0.1104,,3.5985,1.8049,,,,0.5322,4.918,3.3281
V2,50,3,"n=50, k=3",25,25,1.0,4.78,443.0,21790.0,5.8841,14.3162,4.78,23.8182,0.2351,,10.5303,8.4094,,,,0.6513,3.6342,15.4915
V2,50,5,"n=50, k=5",25,17,0.68,46.64,1383.0,58264.0,13.3796,28.2531,4.8,32.5509,0.2443,,6.296,3.4182,,,,0.6068,3.1979,7.2198
V2,50,7,"n=50, k=7",25,15,0.6,292.02,16678.0,694725.0,17.3052,40.0826,16.05,33.6248,0.2671,,5.7939,4.0056,,,,0.6043,3.5263,9.1218
V2,50,10,"n=50, k=10",25,14,0.56,663.49,12033.0,507270.0,18.4259,50.6252,14.505,34.7255,0.2623,,6.4602,2.9932,,,,0.6113,3.416,6.1426
V2,50,15,"n=50, k=15",25,13,0.52,196.81,10688.0,1133686.0,17.9374,61.7595,22.63,35.2644,0.2437,,4.5514,2.7812,,,,0.59,4.9388,6.6614
V2,100,5,"n=100, k=5",20,2,0.1,3600.0,93046.5,4866289.0,16.4416,39.9346,184.375,59.4493,0.1754,,13.8691,7.4881,,,,0.6054,2.6476,8.7516
V2,100,7,"n=100, k=7",20,7,0.35,3600.0,17859.0,858059.0,23.7125,51.4037,30.04,76.3438,0.1568,,3.5211,3.6429,,,,0.5873,3.17,5.0732
V2,100,10,"n=100, k=10",20,2,0.1,3600.0,1186.0,143023.5,38.2655,64.379,7.345,82.8825,0.1494,,8.5433,4.0085,,,,0.5683,4.5433,7.1457
V2,100,15,"n=100, k=15",20,2,0.1,3600.0,229546.0,9249540.5,62.1058,99.9336,424.03,90.2783,0.3311,,4.3782,3.1568,,,,0.6573,2.4469,5.609
V2,100,20,"n=100, k=20",20,2,0.1,3600.0,67511.5,6758990.0,49.4886,195.5493,123.19,77.2064,0.2406,,17.3593,4.5718,,,,0.644,4.0676,14.0448
V2,150,7,"n=150, k=7",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V2,150,10,"n=150, k=10",20,3,0.15,3600.0,51439.0,1797934.0,67.836,93.6512,144.33,116.5,0.2469,,3.3173,2.4567,,,,0.572,2.2302,3.0022
V2,150,15,"n=150, k=15",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V2,150,20,"n=150, k=20",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,20,3,"n=20, k=3",30,30,1.0,8.195,41.5,2007.0,3.6719,7.3704,8.195,12.9091,0.0822,,,,3.8658,0.0789,0.5493,,,
V3,20,5,"n=20, k=5",30,30,1.0,0.3,69.5,4240.0,6.0789,14.9516,0.3,14.4278,0.0615,,,,2.6048,0.0875,0.5254,,,
V3,20,7,"n=20, k=7",30,30,1.0,4.915,134.5,9491.5,7.2846,20.6104,4.915,15.1679,0.0483,,,,2.1941,0.1105,0.5143,,,
V3,20,10,"n=20, k=10",30,29,0.9667,0.755,76.0,16242.0,8.1343,32.808,0.74,14.9947,0.0361,,,,1.7583,0.1491,0.5063,,,
V3,50,3,"n=50, k=3",25,24,0.96,16.75,1178.0,41030.5,7.3001,15.4361,16.4,30.7402,0.097,,,,7.1723,0.0284,0.5915,,,
V3,50,5,"n=50, k=5",25,8,0.32,3600.0,2109.0,71558.5,15.7054,25.6613,18.59,38.215,0.072,,,,3.3477,0.0423,0.5601,,,
V3,50,7,"n=50, k=7",25,8,0.32,3600.0,14801.5,531209.0,21.543,35.7611,21.415,41.6981,0.1009,,,,2.9822,0.0679,0.5662,,,
V3,50,10,"n=50, k=10",25,9,0.36,3600.0,89666.0,2987859.0,24.4607,44.7654,70.08,39.8179,0.0945,,,,2.3776,0.0857,0.5716,,,
V3,50,15,"n=50, k=15",25,9,0.36,3600.0,7548.0,546559.0,22.3474,59.9352,7.22,40.3273,0.0618,,,,2.0936,0.0631,0.566,,,
V3,100,5,"n=100, k=5",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,100,7,"n=100, k=7",20,2,0.1,3600.0,160154.5,6013302.5,28.6264,65.1816,268.785,89.2747,0.0316,,,,11.9322,0.0903,0.6708,,,
V3,100,10,"n=100, k=10",20,2,0.1,3600.0,19834.0,918860.0,37.5963,60.9215,34.905,67.1355,0.1143,,,,3.8643,0.0609,0.5773,,,
V3,100,15,"n=100, k=15",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,100,20,"n=100, k=20",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,150,7,"n=150, k=7",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,150,10,"n=150, k=10",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,150,15,"n=150, k=15",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V3,150,20,"n=150, k=20",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
