propagator_variant,config_n,config_k,instance,avg_depth_at_failure,circuit_conflict_rate,circuit_pruning_rate
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0021.fzn,16.38235294117647,0.13709677419354838,0.2862903225806452
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0028.fzn,9.6,0.14018691588785046,0.29906542056074764
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0010.fzn,14.89795918367347,0.11835748792270531,0.2536231884057971
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0002.fzn,15.960227272727273,0.32754342431761785,0.2924937965260546
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0008.fzn,12.134146341463415,0.1940828402366864,0.18106508875739644
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0023.fzn,12.75531914893617,0.2538253825382538,0.20522052205220523
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0001.fzn,15.006013952369496,0.010513643456730174,0.27694864071261105
V0,20,3,pumpkin-v0/opt/n20_k3/instance_n20_k3_0022.fzn,17.177419354838708,0.17663817663817663,0.34615384615384615
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0017.fzn,13.805447470817121,0.014473980626267178,0.22797927461139897
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0021.fzn,16.405365126676603,0.08207951070336392,0.2434250764525994
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0026.fzn,15.537404580152671,0.08741492059255306,0.23808888295742694
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0008.fzn,14.72419627749577,0.049709815796114054,0.2903524266128354
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0012.fzn,15.813186813186814,0.15041322314049588,0.12506887052341598
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0013.fzn,16.288667496886674,0.3738361266294227,0.06424581005586592
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0006.fzn,13.602022867194371,0.012061293008799333,0.16445047921628114
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0005.fzn,14.325732899022801,0.0239121404091806,0.15819399729982345
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0020.fzn,12.64639454181861,0.009540940222004655,0.15101494309592156
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0019.fzn,12.185064935064934,0.020735155513666354,0.15681522373322562
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0018.fzn,17.187941980202794,0.4053178799182484,0.1709582895762578
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0000.fzn,14.777027027027026,0.013937282229965157,0.2063282794990112
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0024.fzn,15.402185792349727,0.02205084949993975,0.22330401253163032
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0023.fzn,14.252895752895753,0.058337713041519634,0.16116074780388917
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0014.fzn,15.818777292576419,0.030634939215063293,0.22354141235096403
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0015.fzn,13.23489010989011,0.02421903589607106,0.26754050367610366
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0029.fzn,14.143238650157805,0.004524404764520055,0.12202931471579401
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0010.fzn,17.7192118226601,0.17771941343838915,0.2087984241628365
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0027.fzn,15.469186524239934,0.22919290481290977,0.15687566944055367
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0011.fzn,13.99696279422931,0.04761560432408981,0.24451353989659785
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0009.fzn,13.32001321003963,0.033206487766896595,0.16411330562470527
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0025.fzn,16.274330641733957,0.28335741811175336,0.1641979768786127
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0003.fzn,11.995067817509248,0.04153223741486147,0.14477390280124955
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0022.fzn,13.230874316939891,0.11210659315414656,0.25461367639176047
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0002.fzn,15.482450922070196,0.09317665317887035,0.21999889141400145
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0004.fzn,15.015748031496063,0.05186849091280376,0.2053297937512763
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0016.fzn,16.746753246753247,0.03533731069297843,0.26290729692519504
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0007.fzn,19.406518010291595,0.14191820837390456,0.24050632911392406
V0,20,7,pumpkin-v0/opt/n20_k7/instance_n20_k7_0028.fzn,15.576023391812866,0.14488455835628045,0.13747087481465792
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0004.fzn,45.364622033512774,0.08657721645288766,0.24296301645026191
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0008.fzn,43.89477602208264,0.019931270063424274,0.17801337321551203
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0015.fzn,46.78666666666667,0.02447780678851175,0.1948433420365535
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0007.fzn,46.25655947465757,0.28744760485329357,0.1454980073944207
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0016.fzn,43.993374558303884,0.0289159088586901,0.32259630121589866
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0005.fzn,45.81286739106188,0.46977846372361964,0.12181233250976263
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0019.fzn,42.65382909725879,0.01343275885723817,0.18342646486936484
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0001.fzn,42.49240454999168,0.059467123230921716,0.22026952996264756
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0014.fzn,44.24770111615718,0.01021015647049881,0.08239214842207339
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0017.fzn,42.54932509351114,0.03452083212971369,0.24860500908558456
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0000.fzn,45.70153357563654,0.3139801260528218,0.16736802907918735
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0020.fzn,42.95942072710816,0.2238317125877904,0.1721029173419773
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0018.fzn,41.488546018056866,0.004530591412816793,0.1323306934900145
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0011.fzn,43.591056435632225,0.04353129920008377,0.14528159120628165
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0023.fzn,36.740659655440524,0.014070469230600924,0.1599788226108646
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0024.fzn,44.704313689989775,0.2065891152553073,0.2764609504660136
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0009.fzn,41.6350058134335,0.003963541515270323,0.2600492314323979
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0012.fzn,43.33892555019315,0.03977931001657743,0.21485378076924863
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0013.fzn,44.349420745397396,0.012456232590918753,0.16110277091047398
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0022.fzn,42.216793115162496,0.008599859428183846,0.08413262149882082
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0002.fzn,43.064058038126106,0.1074694012460545,0.22613073245825577
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0010.fzn,45.617362166927535,0.05531321744495529,0.1684084223324091
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0021.fzn,41.6807706947943,0.014981911022354993,0.10869803207168117
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0002.fzn,82.86681487712552,0.02932231501641507,0.16077289837949416
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0003.fzn,43.57339099861541,0.07898022023389714,0.2455895471222394
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0017.fzn,94.26145552560646,0.22317276841940753,0.111585924548076
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0000.fzn,87.39706449126413,0.005686845079498208,0.32539635863653066
V0,50,15,pumpkin-v0/opt/n50_k15/instance_n50_k15_0006.fzn,44.340898209326824,0.0019664802028658865,0.13915074154456353
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0009.fzn,90.71248119447047,0.0677006051285673,0.12242329116818808
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0010.fzn,90.68680643038174,0.21839376600171473,0.1943682049237466
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0003.fzn,95.56211559813865,0.04941597453354531,0.33905300258901067
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0007.fzn,91.7768222871652,0.0832847349286479,0.2292494711095322
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0001.fzn,84.06571798188874,0.010495043150265617,0.27735870015996206
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0005.fzn,89.5757340505171,0.01995293981069621,0.08784828257289093
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0008.fzn,89.7316476667587,0.04788958815634248,0.22306184691615497
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0013.fzn,86.87032690894436,0.02315673325538117,0.1569319785027695
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0006.fzn,83.9025500024332,0.007513110650471439,0.17753613186863812
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0004.fzn,85.10694025347013,0.0017134405607262672,0.14780022461892492
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0012.fzn,96.8101644217622,0.3702559667597002,0.26930600694445234
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0011.fzn,89.09198949907763,0.01974932205414529,0.16946456903101997
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0014.fzn,95.64788706303577,0.40680989160614556,0.20567250822094996
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0019.fzn,83.3433231974437,0.009264942841992448,0.17349002990824589
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0016.fzn,94.05890592878066,0.029441713530501127,0.14219627192244436
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0018.fzn,93.55212459403867,0.29874325744548186,0.10071177202645287
V0,100,15,pumpkin-v0/opt/n100_k15/instance_n100_k15_0015.fzn,91.55407969639468,0.010674952752699628,0.19920347316489345
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0013.fzn,87.4431837525001,0.028132592756207542,0.1169615925880034
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0014.fzn,87.3626212581434,0.18159993291906276,0.14370734262411097
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0001.fzn,75.75450568847691,0.02669164850527335,0.22199139838652165
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0018.fzn,73.7101958062892,0.007939821959829087,0.18234645825989
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0000.fzn,77.08144003967394,0.0122423409004152,0.13077393795109235
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0006.fzn,91.83746808971469,0.23563976354116192,0.2004656411429112
