instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,type,best_sol
pumpkin-v0/opt/n20_k5/instance_n20_k5_0022.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/317,OPTIMAL,6,7.98,0.14,1167,171753,0.077486563,1999,116,0,1167,5.27592116538132,22.9751499571551,7.342759211653814,1,482,6384,482,622,2933,minimize,117
pumpkin-v0/opt/n20_k5/instance_n20_k5_0005.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/315,OPTIMAL,4,19.57,0.5800000000000001,4433,473708,0.474689698,5914,146,0,4433,5.553349875930521,24.209339048048726,9.115046244078503,1,667,9086,667,1202,6984,minimize,442
pumpkin-v0/opt/n20_k5/instance_n20_k5_0004.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/318,OPTIMAL,7,7.58,0.22,1226,166090,0.11710463,2072,118,0,1226,5.730831973898858,18.238172920065253,6.393964110929853,1,312,4403,312,1058,4424,minimize,199
pumpkin-v0/opt/n20_k5/instance_n20_k5_0029.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/314,OPTIMAL,5,23.57,4.78,29545,3406643,4.662299498,31406,137,0,29545,6.763648671518023,20.652597732272802,9.884752073108817,1,2738,36456,2738,9051,40862,minimize,314
pumpkin-v0/opt/n20_k5/instance_n20_k5_0021.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/319,OPTIMAL,5,8.48,0.14,382,57176,0.03139257,903,105,0,382,5.43455497382199,18.835078534031414,3.756544502617801,1,161,2165,161,300,1417,minimize,113
pumpkin-v0/opt/n20_k5/instance_n20_k5_0024.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/312,OPTIMAL,9,18.75,0.17,1280,175703,0.092305994,2427,128,0,1280,6.53984375,22.15,5.96484375,1,423,6246,423,1448,5679,minimize,126
pumpkin-v0/opt/n20_k5/instance_n20_k5_0001.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/320,OPTIMAL,8,9.1,1.24,8776,1050587,1.137430345,9709,123,0,8776,6.524042844120328,20.487351868732908,7.245442114858705,1,1036,14966,1036,23680,65016,minimize,919
pumpkin-v0/opt/n20_k5/instance_n20_k5_0016.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/323,OPTIMAL,8,9.45,0.11,430,69630,0.030985331,1320,125,0,430,5.397674418604651,19.21627906976744,5.609302325581395,1,231,3446,231,500,2172,minimize,125
pumpkin-v0/opt/n20_k5/instance_n20_k5_0025.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/325,OPTIMAL,2,9.62,0.29,2805,395420,0.198011833,3881,111,0,2805,5.127985739750446,11.95187165775401,7.240285204991087,1,2255,34833,2255,1845,9176,minimize,144
pumpkin-v0/opt/n20_k5/instance_n20_k5_0023.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/321,OPTIMAL,6,8.84,0.45,3771,419167,0.345548857,5111,125,0,3771,5.145054362238133,18.779634049323786,8.166534075841952,1,442,5883,442,1036,5710,minimize,161
pumpkin-v0/opt/n20_k5/instance_n20_k5_0007.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/322,OPTIMAL,7,9.45,0.13,378,50632,0.027388292,1132,120,0,378,5.529100529100529,15.748677248677248,4.542328042328043,1,215,3654,215,425,2030,minimize,245
pumpkin-v0/opt/n100_k10/instance_n100_k10_0012.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/378,SATISFIABLE,4,1800.0,1800.0,27754,17523398,24.591768195,42805,1138,0,27754,69.84438279166967,75.87028896735606,83.78925560279599,0,75844,7268068,75844,32089,206121,minimize,1155
pumpkin-v0/opt/n20_k5/instance_n20_k5_0027.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/324,OPTIMAL,5,9.55,0.22,1671,194438,0.128950051,2677,129,0,1671,6.299820466786356,16.827049670855775,7.887492519449432,1,568,7650,568,355,3539,minimize,248
pumpkin-v0/opt/n100_k10/instance_n100_k10_0008.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/387,SATISFIABLE,3,1800.0,1800.0,16642,11097205,10.331088093,24629,1141,0,16642,39.098365581059966,57.43101790650162,21.345511356808075,0,2954,255480,2954,7973,35369,minimize,2509
pumpkin-v0/opt/n100_k10/instance_n100_k10_0018.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/386,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0011.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/389,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0015.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/392,SATISFIABLE,6,1800.0,1800.0,496,382543,0.211466806,7235,1125,0,496,30.076612903225808,49.28024193548387,11.495967741935484,0,147,13596,147,473,4130,minimize,1382
pumpkin-v0/opt/n100_k10/instance_n100_k10_0010.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/385,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0000.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/393,SATISFIABLE,17,1803.82,1769.8799999999999,2352304,2096238209,1776.702828886,3820477,1231,4,2352304,31.50011945734905,68.49710496602479,32.32955774423714,0,8427965,757760429,8427965,7062016,31448438,minimize,3010
pumpkin-v0/opt/n100_k10/instance_n100_k10_0016.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/379,SATISFIABLE,1,1800.0,1800.0,13987,13280535,4.379390678,53263,1147,0,13987,10.269178522914135,28.73089297204547,11.59426610423965,0,229,17091,229,4895,54505,minimize,53263
